id,Interventions,Type_VHL,Regime,ordre,id_cs,cs,disponible,modularite
361,POMPE,CCR,Soclé,1,1.0,ANTO,1,0
362,VSAV,VSAV,Soclé,1,1.0,ANTO,1,0
363,VSAV,VSAV,Soclé,2,1.0,ANTO,1,0
380,POMPE,FPTL,Soclé,1,2.0,ASNI,1,0
382,VSAV,VSAV,Soclé,1,2.0,ASNI,1,0
128,POMPE,PSE,Modulaire,1,3.0,AUBE,1,130
131,VSAV,VSAV,Soclé,1,3.0,AUBE,1,0
129,POMPE,FPTL,Soclé,2,3.0,AUBE,1,0
130,VSAV,VSAV,Modulaire,2,3.0,AUBE,1,128
61,POMPE,PSE,Modulaire,1,4.0,AULN,1,65
67,VSAV,VSAV,Soclé,1,4.0,AULN,1,0
62,POMPE,FA,Soclé,2,4.0,AULN,1,0
66,VSAV,VSAV,Soclé,2,4.0,AULN,1,0
65,VSAV,VSAV,Modulaire,3,4.0,AULN,1,61
323,POMPE,FPTLHP,Soclé,1,5.0,AUTE,1,0
324,VSAV,VSAV,Soclé,1,5.0,AUTE,1,0
325,VSAV,VSAV,Soclé,2,5.0,AUTE,1,0
364,POMPE,PSE,Modulaire,1,11.0,BGLR,1,366
367,VSAV,VSAV,Soclé,1,11.0,BGLR,1,0
365,POMPE,FPTL,Soclé,2,11.0,BGLR,1,0
366,VSAV,VSAV,Modulaire,2,11.0,BGLR,1,364
34,POMPE,PSE,Modulaire,1,6.0,BITC,1,36
38,VSAV,VSAV,Soclé,1,6.0,BITC,1,0
35,POMPE,FPTL,Soclé,2,6.0,BITC,1,0
37,VSAV,VSAV,Soclé,2,6.0,BITC,1,0
36,VSAV,VSAV,Modulaire,3,6.0,BITC,1,34
1,POMPE,PSE,Modulaire,1,8.0,BLAN,1,4
6,VSAV,VSAV,Soclé,1,8.0,BLAN,1,0
2,POMPE,FPTL,Soclé,2,8.0,BLAN,1,0
5,VSAV,VSAV,Soclé,2,8.0,BLAN,1,0
4,VSAV,VSAV,Modulaire,3,8.0,BLAN,1,1
69,POMPE,CCR,Soclé/omnibus,1,7.0,BLME,1,0
73,VSAV,VSAV,Soclé,1,7.0,BLME,1,0
85,POMPE,PSE,Modulaire,1,9.0,BOND,1,88
89,VSAV,VSAV,Soclé,1,9.0,BOND,1,0
86,POMPE,FPTL,Soclé,2,9.0,BOND,1,0
90,VSAV,VSAV,Soclé,2,9.0,BOND,1,0
88,VSAV,VSAV,Modulaire,3,9.0,BOND,1,85
332,POMPE,PSE,Modulaire,1,10.0,BOUL,1,337
338,VSAV,VSAV,Soclé,1,10.0,BOUL,1,0
333,POMPE,FPTL,Soclé,2,10.0,BOUL,1,0
337,VSAV,VSAV,Modulaire,2,10.0,BOUL,1,332
17,POMPE,FPTL,Soclé,1,12.0,BSLT,1,0
18,VSAV,VSAV,Soclé,1,12.0,BSLT,1,0
19,VSAV,VSAV,Soclé,2,12.0,BSLT,1,0
395,POMPE,PSE,Modulaire,1,23.0,CBVE,1,398
399,VSAV,VSAV,Soclé,1,23.0,CBVE,1,0
396,POMPE,FPTL,Soclé,2,23.0,CBVE,1,0
398,VSAV,VSAV,Modulaire,2,23.0,CBVE,1,395
56,POMPE,PSE,Modulaire,1,16.0,CHAR,1,58
59,VSAV,VSAV,Soclé,1,16.0,CHAR,1,0
57,POMPE,FPTL,Soclé,2,16.0,CHAR,1,0
58,VSAV,VSAV,Modulaire,2,16.0,CHAR,1,56
140,POMPE,PSE,Modulaire,1,13.0,CHLY,1,143
144,VSAV,VSAV,Soclé,1,13.0,CHLY,1,0
141,POMPE,FPTL,Soclé,2,13.0,CHLY,1,0
145,VSAV,VSAV,Soclé,2,13.0,CHLY,1,0
143,VSAV,VSAV,Modulaire,3,13.0,CHLY,1,140
244,POMPE,PSE,Modulaire,1,18.0,CHOI,1,246
247,VSAV,VSAV,Soclé,1,18.0,CHOI,1,0
